sleep_quality,headache,academic_performance,study_load,extracurricular,fuzzy_class,confidence,support,counts
1,1,1,1,1,Rendah,1.0,5,{'Rendah': 5}
1,1,1,2,3,Rendah,1.0,5,{'Rendah': 5}
1,1,5,1,5,Rendah,1.0,5,{'Rendah': 5}
1,2,3,2,5,Rendah,1.0,5,{'Rendah': 5}
1,2,3,3,1,Tinggi,1.0,5,{'Tinggi': 5}
1,3,2,2,1,Rendah,1.0,5,{'Rendah': 5}
1,3,3,2,2,Tinggi,1.0,5,{'Tinggi': 5}
2,1,2,1,4,Tinggi,1.0,5,{'Tinggi': 5}
2,1,2,3,2,Rendah,1.0,5,{'Rendah': 5}
2,1,2,4,3,Sedang,1.0,5,{'Sedang': 5}
2,1,3,1,2,Sedang,1.0,5,{'Sedang': 5}
2,1,4,3,1,Rendah,1.0,5,{'Rendah': 5}
2,1,4,4,1,Sedang,0.5,10,"{'Sedang': 5, 'Tinggi': 5}"
2,1,4,4,5,Rendah,1.0,5,{'Rendah': 5}
2,2,2,4,2,Sedang,1.0,5,{'Sedang': 5}
2,3,1,5,5,Sedang,1.0,5,{'Sedang': 5}
2,3,3,1,1,Rendah,1.0,5,{'Rendah': 5}
2,3,3,2,3,Tinggi,1.0,5,{'Tinggi': 5}
2,3,3,2,5,Rendah,1.0,5,{'Rendah': 5}
2,3,3,4,4,Sedang,1.0,5,{'Sedang': 5}
2,3,3,5,3,Tinggi,1.0,5,{'Tinggi': 5}
2,3,4,1,2,Rendah,1.0,5,{'Rendah': 5}
2,3,4,2,3,Rendah,1.0,5,{'Rendah': 5}
2,3,4,2,5,Sedang,1.0,5,{'Sedang': 5}
2,3,5,1,5,Rendah,1.0,5,{'Rendah': 5}
2,3,5,5,2,Tinggi,1.0,5,{'Tinggi': 5}
2,4,3,2,1,Rendah,1.0,5,{'Rendah': 5}
2,4,3,4,5,Tinggi,1.0,5,{'Tinggi': 5}
2,5,2,1,2,Rendah,1.0,5,{'Rendah': 5}
3,1,3,1,2,Rendah,1.0,5,{'Rendah': 5}
3,1,3,2,1,Rendah,1.0,5,{'Rendah': 5}
3,1,3,2,2,Rendah,1.0,5,{'Rendah': 5}
3,1,3,3,3,Tinggi,0.5,10,"{'Tinggi': 5, 'Sedang': 5}"
3,1,3,4,2,Sedang,1.0,5,{'Sedang': 5}
3,1,4,1,1,Tinggi,1.0,5,{'Tinggi': 5}
3,1,4,2,1,Sedang,1.0,5,{'Sedang': 5}
3,1,4,3,1,Sedang,1.0,5,{'Sedang': 5}
3,1,4,4,2,Sedang,1.0,5,{'Sedang': 5}
3,1,4,4,3,Sedang,1.0,5,{'Sedang': 5}
3,1,4,4,4,Sedang,1.0,5,{'Sedang': 5}
3,1,5,1,4,Rendah,1.0,5,{'Rendah': 5}
3,2,3,1,1,Sedang,0.5,10,"{'Sedang': 5, 'Tinggi': 5}"
3,2,3,2,3,Sedang,1.0,5,{'Sedang': 5}
3,2,3,2,5,Rendah,1.0,5,{'Rendah': 5}
3,2,3,4,1,Tinggi,1.0,5,{'Tinggi': 5}
3,2,3,5,4,Sedang,1.0,5,{'Sedang': 5}
3,2,4,2,3,Tinggi,0.5,10,"{'Tinggi': 5, 'Rendah': 5}"
3,2,4,3,3,Sedang,1.0,5,{'Sedang': 5}
3,2,4,5,1,Tinggi,1.0,5,{'Tinggi': 5}
3,2,4,5,4,Tinggi,1.0,5,{'Tinggi': 5}
3,2,5,4,2,Tinggi,1.0,5,{'Tinggi': 5}
3,3,1,1,1,Rendah,1.0,5,{'Rendah': 5}
3,3,4,4,3,Sedang,1.0,5,{'Sedang': 5}
3,3,4,4,4,Sedang,1.0,5,{'Sedang': 5}
3,3,5,3,4,Rendah,1.0,5,{'Rendah': 5}
3,4,2,1,3,Rendah,1.0,5,{'Rendah': 5}
3,4,2,2,1,Rendah,1.0,5,{'Rendah': 5}
3,4,3,5,2,Tinggi,1.0,5,{'Tinggi': 5}
3,4,3,5,5,Tinggi,1.0,5,{'Tinggi': 5}
3,4,4,5,3,Rendah,1.0,5,{'Rendah': 5}
3,5,1,4,3,Tinggi,1.0,5,{'Tinggi': 5}
3,5,2,1,1,Rendah,1.0,5,{'Rendah': 5}
3,5,3,2,3,Tinggi,1.0,5,{'Tinggi': 5}
4,1,1,2,4,Tinggi,1.0,5,{'Tinggi': 5}
4,1,2,3,3,Rendah,1.0,5,{'Rendah': 5}
4,1,3,1,1,Tinggi,1.0,5,{'Tinggi': 5}
4,1,3,2,1,Tinggi,1.0,5,{'Tinggi': 5}
4,1,3,2,5,Rendah,0.5,10,"{'Rendah': 5, 'Tinggi': 5}"
4,1,4,1,1,Rendah,1.0,5,{'Rendah': 5}
4,1,4,3,3,Rendah,1.0,5,{'Rendah': 5}
4,1,4,4,1,Rendah,1.0,5,{'Rendah': 5}
4,1,4,5,1,Tinggi,1.0,5,{'Tinggi': 5}
4,1,5,3,2,Sedang,1.0,5,{'Sedang': 5}
4,1,5,4,5,Rendah,1.0,5,{'Rendah': 5}
4,2,3,3,1,Tinggi,1.0,5,{'Tinggi': 5}
4,2,3,3,5,Tinggi,1.0,5,{'Tinggi': 5}
4,2,4,3,5,Sedang,1.0,5,{'Sedang': 5}
4,2,5,1,5,Rendah,1.0,5,{'Rendah': 5}
4,3,1,4,1,Rendah,1.0,5,{'Rendah': 5}
4,3,2,2,4,Rendah,1.0,5,{'Rendah': 5}
4,3,3,2,2,Rendah,1.0,5,{'Rendah': 5}
4,3,3,4,2,Rendah,1.0,5,{'Rendah': 5}
4,3,4,4,3,Tinggi,1.0,5,{'Tinggi': 5}
4,3,5,2,1,Sedang,1.0,5,{'Sedang': 5}
4,4,2,3,1,Sedang,1.0,5,{'Sedang': 5}
4,4,3,2,2,Rendah,1.0,5,{'Rendah': 5}
5,1,3,5,5,Tinggi,1.0,5,{'Tinggi': 5}
5,1,4,2,1,Rendah,1.0,5,{'Rendah': 5}
5,1,4,3,2,Tinggi,1.0,5,{'Tinggi': 5}
5,1,4,5,4,Tinggi,1.0,5,{'Tinggi': 5}
